fecha,abrir,max,min,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,volumen
"Dec 5, 2023",233.87,246.66,233.70,238.72,238.72,"137,971,100"
"Dec 4, 2023",235.75,239.37,233.29,235.58,235.58,"104,099,800"
"Dec 1, 2023",233.14,240.19,231.90,238.83,238.83,"121,173,500"
"Nov 30, 2023",245.14,245.22,236.91,240.08,240.08,"132,353,200"
"Nov 29, 2023",249.21,252.75,242.76,244.14,244.14,"135,401,300"
"Nov 28, 2023",236.68,247.00,234.01,246.72,246.72,"148,549,900"
"Nov 27, 2023",236.89,238.33,232.10,236.08,236.08,"112,031,800"
"Nov 24, 2023",233.75,238.75,232.33,235.45,235.45,"65,125,200"
"Nov 22, 2023",242.04,244.01,231.40,234.21,234.21,"117,950,600"
"Nov 21, 2023",235.04,243.62,233.34,241.20,241.20,"122,288,000"
"Nov 20, 2023",234.04,237.10,231.02,235.60,235.60,"116,320,100"
"Nov 17, 2023",232.00,237.39,226.54,234.30,234.30,"142,532,800"
"Nov 16, 2023",239.49,240.88,230.96,233.59,233.59,"136,816,800"
"Nov 15, 2023",239.29,246.70,236.45,242.84,242.84,"150,354,000"
"Nov 14, 2023",235.03,238.14,230.72,237.41,237.41,"149,771,600"
"Nov 13, 2023",215.60,225.40,211.61,223.71,223.71,"140,447,600"
"Nov 10, 2023",210.03,215.38,205.69,214.65,214.65,"130,994,000"
"Nov 9, 2023",219.75,220.80,206.68,209.98,209.98,"142,110,500"
"Nov 8, 2023",223.15,224.15,217.64,222.11,222.11,"106,584,800"
"Nov 7, 2023",219.98,223.12,215.72,222.18,222.18,"116,900,100"
"Nov 6, 2023",223.98,226.32,215.00,219.27,219.27,"117,335,800"
"Nov 3, 2023",221.15,226.37,218.40,219.96,219.96,"119,281,000"
"Nov 2, 2023",212.97,219.20,211.45,218.51,218.51,"125,987,600"
"Nov 1, 2023",204.04,205.99,197.85,205.66,205.66,"121,661,700"
"Oct 31, 2023",196.12,202.80,194.07,200.84,200.84,"118,068,300"
"Oct 30, 2023",209.28,210.88,194.67,197.36,197.36,"136,448,200"
"Oct 27, 2023",210.60,212.41,205.77,207.30,207.30,"94,881,200"
"Oct 26, 2023",211.32,214.80,204.88,205.76,205.76,"115,112,600"
"Oct 25, 2023",215.88,220.10,212.20,212.42,212.42,"107,065,100"
"Oct 24, 2023",216.50,222.05,214.11,216.52,216.52,"118,231,100"
"Oct 23, 2023",210.00,216.98,202.51,212.08,212.08,"150,683,400"
"Oct 20, 2023",217.01,218.86,210.42,211.99,211.99,"137,734,000"
"Oct 19, 2023",225.95,230.61,216.78,220.11,220.11,"170,772,700"
"Oct 18, 2023",252.70,254.63,242.08,242.68,242.68,"125,147,800"
"Oct 17, 2023",250.10,257.18,247.08,254.85,254.85,"93,562,900"
"Oct 16, 2023",250.05,255.40,248.48,253.92,253.92,"88,917,200"
"Oct 13, 2023",258.90,259.60,250.22,251.12,251.12,"102,073,800"
"Oct 12, 2023",262.92,265.41,256.63,258.87,258.87,"111,508,100"
"Oct 11, 2023",266.20,268.60,260.90,262.99,262.99,"103,706,300"
"Oct 10, 2023",257.75,268.94,257.65,263.62,263.62,"122,656,000"
"Oct 9, 2023",255.31,261.36,252.05,259.67,259.67,"101,377,900"
"Oct 6, 2023",253.98,261.65,250.65,260.53,260.53,"117,947,000"
"Oct 5, 2023",260.00,263.60,256.25,260.05,260.05,"119,159,200"
"Oct 4, 2023",248.14,261.86,247.60,261.16,261.16,"129,721,600"
"Oct 3, 2023",248.61,250.02,244.45,246.53,246.53,"101,985,300"
"Oct 2, 2023",244.81,254.28,242.62,251.60,251.60,"123,810,400"
"Sep 29, 2023",250.00,254.77,246.35,250.22,250.22,"128,346,200"
"Sep 28, 2023",240.02,247.55,238.65,246.38,246.38,"117,058,900"
"Sep 27, 2023",244.26,245.33,234.58,240.50,240.50,"136,597,200"
"Sep 26, 2023",242.98,249.55,241.66,244.12,244.12,"101,993,600"
"Sep 25, 2023",243.38,247.10,238.31,246.99,246.99,"104,636,600"
"Sep 22, 2023",257.40,257.79,244.48,244.88,244.88,"127,524,100"
"Sep 21, 2023",257.85,260.86,254.21,255.70,255.70,"119,531,000"
"Sep 20, 2023",267.04,273.93,262.46,262.59,262.59,"122,514,600"
"Sep 19, 2023",264.35,267.85,261.20,266.50,266.50,"103,704,000"
"Sep 18, 2023",271.16,271.44,263.76,265.28,265.28,"101,543,300"
"Sep 15, 2023",277.55,278.98,271.00,274.39,274.39,"133,422,800"
"Sep 14, 2023",271.32,276.71,270.42,276.04,276.04,"107,709,800"
"Sep 13, 2023",270.07,274.98,268.10,271.30,271.30,"111,673,700"
"Sep 12, 2023",270.76,278.39,266.60,267.48,267.48,"135,999,900"
"Sep 11, 2023",264.27,274.85,260.61,273.58,273.58,"174,667,900"
"Sep 8, 2023",251.22,256.52,246.67,248.50,248.50,"118,367,700"
"Sep 7, 2023",245.07,252.81,243.27,251.49,251.49,"115,312,900"
"Sep 6, 2023",255.14,255.39,245.06,251.92,251.92,"116,959,800"
"Sep 5, 2023",245.00,258.00,244.86,256.49,256.49,"129,469,600"
"Sep 1, 2023",257.26,259.08,242.01,245.01,245.01,"132,272,500"
"Aug 31, 2023",255.98,261.18,255.05,258.08,258.08,"108,861,700"
"Aug 30, 2023",254.20,260.51,250.59,256.90,256.90,"121,988,400"
"Aug 29, 2023",238.58,257.48,237.77,257.18,257.18,"134,047,600"
"Aug 28, 2023",242.58,244.38,235.35,238.82,238.82,"107,673,700"
"Aug 25, 2023",231.31,239.00,230.35,238.59,238.59,"106,612,200"
"Aug 24, 2023",238.66,238.92,228.18,230.04,230.04,"99,777,400"
"Aug 23, 2023",229.34,238.98,229.29,236.86,236.86,"101,077,600"
"Aug 22, 2023",240.25,240.82,229.55,233.19,233.19,"130,597,900"
"Aug 21, 2023",221.55,232.13,220.58,231.28,231.28,"135,702,700"
"Aug 18, 2023",214.12,217.58,212.36,215.49,215.49,"135,813,700"
"Aug 17, 2023",226.06,226.74,218.83,219.22,219.22,"120,718,400"
"Aug 16, 2023",228.02,233.97,225.38,225.60,225.60,"112,484,500"
"Aug 15, 2023",238.73,240.50,232.61,232.96,232.96,"88,197,600"
"Aug 14, 2023",235.70,240.66,233.75,239.76,239.76,"98,595,300"
"Aug 11, 2023",241.77,243.79,238.02,242.65,242.65,"98,866,600"
"Aug 10, 2023",245.40,251.80,243.00,245.34,245.34,"109,498,600"
"Aug 9, 2023",250.87,251.10,241.90,242.19,242.19,"101,596,300"
"Aug 8, 2023",247.45,250.92,245.01,249.70,249.70,"96,642,200"
"Aug 7, 2023",251.45,253.65,242.76,251.45,251.45,"111,097,900"
"Aug 4, 2023",260.97,264.77,253.11,253.86,253.86,"99,242,600"
"Aug 3, 2023",252.04,260.49,252.00,259.32,259.32,"97,569,100"
"Aug 2, 2023",255.57,259.52,250.49,254.11,254.11,"101,752,900"
"Aug 1, 2023",266.26,266.47,260.25,261.07,261.07,"83,166,000"
"Jul 31, 2023",267.48,269.08,263.78,267.43,267.43,"84,582,200"
"Jul 28, 2023",259.86,267.25,258.23,266.44,266.44,"111,446,000"
"Jul 27, 2023",268.31,269.13,255.30,255.71,255.71,"103,697,300"
"Jul 26, 2023",263.25,268.04,261.75,264.35,264.35,"95,856,200"
"Jul 25, 2023",272.38,272.90,265.00,265.28,265.28,"112,757,300"
"Jul 24, 2023",255.85,269.85,254.12,269.06,269.06,"136,508,500"
"Jul 21, 2023",268.00,268.00,255.80,260.02,260.02,"161,050,100"
"Jul 20, 2023",279.56,280.93,261.20,262.90,262.90,"175,158,300"
"Jul 19, 2023",296.04,299.29,289.52,291.26,291.26,"142,355,400"
"Jul 18, 2023",290.15,295.26,286.01,293.34,293.34,"112,434,700"
"Jul 17, 2023",286.63,292.23,283.57,290.38,290.38,"131,569,600"
"Jul 14, 2023",277.01,285.30,276.31,281.38,281.38,"119,771,100"
"Jul 13, 2023",274.59,279.45,270.60,277.90,277.90,"112,681,500"
"Jul 12, 2023",276.33,276.52,271.46,271.99,271.99,"95,672,100"
"Jul 11, 2023",268.65,270.90,266.37,269.79,269.79,"91,972,400"
"Jul 10, 2023",276.47,277.52,265.10,269.61,269.61,"119,425,400"
"Jul 7, 2023",278.43,280.78,273.77,274.43,274.43,"113,602,000"
"Jul 6, 2023",278.09,279.97,272.88,276.54,276.54,"120,332,100"
"Jul 5, 2023",278.82,283.85,277.60,282.48,282.48,"131,530,900"
"Jul 3, 2023",276.49,284.25,275.11,279.82,279.82,"119,685,900"
"Jun 30, 2023",260.60,264.45,259.89,261.77,261.77,"112,267,600"
"Jun 29, 2023",258.03,260.74,253.61,257.50,257.50,"131,283,400"
"Jun 28, 2023",249.70,259.88,248.89,256.24,256.24,"159,770,800"
"Jun 27, 2023",243.24,250.39,240.85,250.21,250.21,"164,968,200"
"Jun 26, 2023",250.07,258.37,240.70,241.05,241.05,"179,990,600"
"Jun 23, 2023",259.29,262.45,252.80,256.60,256.60,"176,584,100"
"Jun 22, 2023",250.77,265.00,248.25,264.61,264.61,"166,875,900"
"Jun 21, 2023",275.13,276.99,257.78,259.46,259.46,"211,797,100"
"Jun 20, 2023",261.50,274.75,261.12,274.45,274.45,"165,611,200"
"Jun 16, 2023",258.92,263.60,257.21,260.54,260.54,"167,563,700"
"Jun 15, 2023",248.40,258.95,247.29,255.90,255.90,"160,171,200"
"Jun 14, 2023",260.17,261.57,250.50,256.79,256.79,"170,575,500"
"Jun 13, 2023",253.51,259.68,251.34,258.71,258.71,"162,384,300"
"Jun 12, 2023",247.94,250.97,244.59,249.83,249.83,"150,337,900"
"Jun 9, 2023",249.07,252.42,242.02,244.40,244.40,"199,882,300"
"Jun 8, 2023",224.22,235.23,223.01,234.86,234.86,"164,489,700"
"Jun 7, 2023",228.00,230.83,223.20,224.57,224.57,"185,710,800"
"Jun 6, 2023",216.14,221.91,212.53,221.31,221.31,"146,911,600"
"Jun 5, 2023",217.80,221.29,214.52,217.61,217.61,"151,143,100"
"Jun 2, 2023",210.15,217.25,209.75,213.97,213.97,"164,129,000"
"Jun 1, 2023",202.59,209.80,199.37,207.52,207.52,"148,029,900"
"May 31, 2023",199.78,203.95,195.12,203.93,203.93,"150,711,700"
"May 30, 2023",200.10,204.48,197.53,201.16,201.16,"128,818,700"
"May 26, 2023",184.62,198.60,184.53,193.17,193.17,"162,061,500"
"May 25, 2023",186.54,186.78,180.58,184.47,184.47,"96,870,700"
"May 24, 2023",182.23,184.22,178.22,182.90,182.90,"137,605,100"
"May 23, 2023",186.20,192.96,185.26,185.77,185.77,"156,952,100"
"May 22, 2023",180.70,189.32,180.11,188.87,188.87,"132,001,400"
"May 19, 2023",177.17,181.95,176.31,180.14,180.14,"136,024,200"
"May 18, 2023",174.22,177.06,172.45,176.89,176.89,"109,520,300"
"May 17, 2023",168.41,174.50,167.19,173.86,173.86,"125,473,600"
"May 16, 2023",165.65,169.52,164.35,166.52,166.52,"98,288,800"
"May 15, 2023",167.66,169.76,164.55,166.35,166.35,"105,592,500"
"May 12, 2023",176.07,177.38,167.23,167.98,167.98,"157,577,100"
"May 11, 2023",168.70,173.57,166.79,172.08,172.08,"103,889,900"
"May 10, 2023",172.55,174.43,166.68,168.54,168.54,"119,840,700"
"May 9, 2023",168.95,169.82,166.56,169.15,169.15,"88,965,000"
"May 8, 2023",173.72,173.80,169.19,171.79,171.79,"112,249,400"
"May 5, 2023",163.97,170.79,163.51,170.06,170.06,"107,440,900"
"May 4, 2023",162.71,162.95,159.65,161.20,161.20,"95,108,500"
"May 3, 2023",160.01,165.00,159.91,160.61,160.61,"119,728,000"
"May 2, 2023",161.88,165.49,158.93,160.31,160.31,"128,259,700"
"May 1, 2023",163.17,163.28,158.83,161.83,161.83,"109,015,000"
"Apr 28, 2023",160.90,165.00,157.32,164.31,164.31,"122,515,800"
"Apr 27, 2023",152.64,160.48,152.37,160.19,160.19,"127,015,200"
"Apr 26, 2023",160.29,160.67,153.14,153.75,153.75,"153,364,100"
"Apr 25, 2023",159.82,163.47,158.75,160.67,160.67,"121,999,300"
"Apr 24, 2023",164.65,165.65,158.61,162.55,162.55,"140,006,600"
"Apr 21, 2023",164.80,166.00,161.32,165.08,165.08,"123,539,000"
"Apr 20, 2023",166.17,169.70,160.56,162.99,162.99,"210,970,800"
"Apr 19, 2023",179.10,183.50,177.65,180.59,180.59,"125,732,700"
"Apr 18, 2023",187.15,187.69,183.58,184.31,184.31,"92,067,000"
"Apr 17, 2023",186.32,189.69,182.69,187.04,187.04,"116,662,200"
"Apr 14, 2023",183.95,186.28,182.01,185.00,185.00,"96,438,700"
"Apr 13, 2023",182.96,186.50,180.94,185.90,185.90,"112,933,000"
"Apr 12, 2023",190.74,191.58,180.31,180.54,180.54,"150,256,300"
"Apr 11, 2023",186.69,189.19,185.65,186.79,186.79,"115,770,900"
"Apr 10, 2023",179.94,185.10,176.11,184.51,184.51,"142,154,600"
"Apr 6, 2023",183.08,186.39,179.74,185.06,185.06,"123,857,900"
"Apr 5, 2023",190.52,190.68,183.76,185.52,185.52,"133,882,500"
"Apr 4, 2023",197.32,198.74,190.32,192.58,192.58,"126,463,800"
"Apr 3, 2023",199.91,202.69,192.20,194.77,194.77,"169,545,900"
"Mar 31, 2023",197.53,207.79,197.20,207.46,207.46,"170,222,100"
"Mar 30, 2023",195.58,197.33,194.42,195.28,195.28,"110,252,200"
"Mar 29, 2023",193.13,195.29,189.44,193.88,193.88,"123,660,000"
"Mar 28, 2023",192.00,192.35,185.43,189.19,189.19,"98,654,600"
"Mar 27, 2023",194.42,197.39,189.94,191.81,191.81,"120,851,600"
"Mar 24, 2023",191.65,192.36,187.15,190.41,190.41,"116,312,400"
"Mar 23, 2023",195.26,199.31,188.65,192.22,192.22,"144,193,900"
"Mar 22, 2023",199.30,200.66,190.95,191.15,191.15,"150,376,400"
"Mar 21, 2023",188.28,198.00,188.04,197.58,197.58,"153,391,400"
"Mar 20, 2023",178.08,186.44,176.35,183.25,183.25,"129,684,400"
"Mar 17, 2023",184.52,186.22,177.33,180.13,180.13,"133,197,100"
"Mar 16, 2023",180.37,185.81,178.84,184.13,184.13,"121,136,800"
"Mar 15, 2023",180.80,182.34,176.03,180.45,180.45,"145,995,600"
"Mar 14, 2023",177.31,183.80,177.14,183.26,183.26,"143,717,900"
"Mar 13, 2023",167.46,177.35,163.91,174.48,174.48,"167,790,300"
"Mar 10, 2023",175.13,178.29,168.44,173.44,173.44,"191,488,900"
"Mar 9, 2023",180.25,185.18,172.51,172.92,172.92,"170,023,800"
"Mar 8, 2023",185.04,186.50,180.00,182.00,182.00,"151,897,800"
"Mar 7, 2023",191.38,194.20,186.10,187.71,187.71,"148,125,800"
"Mar 6, 2023",198.54,198.60,192.30,193.81,193.81,"128,100,100"
"Mar 3, 2023",194.80,200.48,192.88,197.79,197.79,"154,193,300"
"Mar 2, 2023",186.74,193.75,186.01,190.90,190.90,"181,500,700"
"Mar 1, 2023",206.21,207.20,198.52,202.77,202.77,"156,852,800"
"Feb 28, 2023",210.59,211.23,203.75,205.71,205.71,"153,144,900"
"Feb 27, 2023",202.03,209.42,201.26,207.63,207.63,"161,028,300"
"Feb 24, 2023",196.33,197.67,192.80,196.88,196.88,"142,228,100"
"Feb 23, 2023",203.91,205.14,196.33,202.07,202.07,"146,360,000"
"Feb 22, 2023",197.93,201.99,191.78,200.86,200.86,"191,828,500"
"Feb 21, 2023",204.99,209.71,197.22,197.37,197.37,"180,018,600"
"Feb 17, 2023",199.99,208.44,197.50,208.31,208.31,"213,738,500"
"Feb 16, 2023",210.78,217.65,201.84,202.04,202.04,"229,586,500"
"Feb 15, 2023",211.76,214.66,206.11,214.24,214.24,"181,006,400"
"Feb 14, 2023",191.94,209.82,189.44,209.25,209.25,"216,455,700"
"Feb 13, 2023",194.42,196.30,187.61,194.64,194.64,"172,475,500"
"Feb 10, 2023",202.23,206.20,192.89,196.89,196.89,"204,754,100"
"Feb 9, 2023",207.78,214.00,204.77,207.32,207.32,"215,431,400"
"Feb 8, 2023",196.10,203.00,194.31,201.29,201.29,"180,673,600"
"Feb 7, 2023",196.43,197.50,189.55,196.81,196.81,"186,010,300"
"Feb 6, 2023",193.01,198.17,189.92,194.76,194.76,"186,188,100"
"Feb 3, 2023",183.95,199.00,183.69,189.98,189.98,"232,662,000"
"Feb 2, 2023",187.33,196.75,182.61,188.27,188.27,"217,448,300"
"Feb 1, 2023",173.89,183.81,169.93,181.41,181.41,"213,806,300"
"Jan 31, 2023",164.57,174.30,162.78,173.22,173.22,"196,813,500"
"Jan 30, 2023",178.05,179.77,166.50,166.66,166.66,"230,878,800"
"Jan 27, 2023",162.43,180.68,161.17,177.90,177.90,"306,590,600"
"Jan 26, 2023",159.97,161.42,154.76,160.27,160.27,"234,815,100"
"Jan 25, 2023",141.91,146.41,138.07,144.43,144.43,"192,734,300"
"Jan 24, 2023",143.00,146.50,141.10,143.89,143.89,"158,699,100"
"Jan 23, 2023",135.87,145.38,134.27,143.75,143.75,"203,119,200"
"Jan 20, 2023",128.68,133.51,127.35,133.42,133.42,"138,858,100"
"Jan 19, 2023",127.26,129.99,124.31,127.17,127.17,"170,291,900"
"Jan 18, 2023",136.56,136.68,127.01,128.78,128.78,"195,680,300"
"Jan 17, 2023",125.70,131.70,125.02,131.49,131.49,"186,477,000"
"Jan 13, 2023",116.55,122.63,115.60,122.40,122.40,"180,714,100"
"Jan 12, 2023",122.56,124.13,117.00,123.56,123.56,"169,400,900"
"Jan 11, 2023",122.09,125.95,120.51,123.22,123.22,"183,810,800"
"Jan 10, 2023",121.07,122.76,114.92,118.85,118.85,"167,642,500"
"Jan 9, 2023",118.96,123.52,117.11,119.77,119.77,"190,284,000"
"Jan 6, 2023",103.00,114.39,101.81,113.06,113.06,"220,911,100"
"Jan 5, 2023",110.51,111.75,107.16,110.34,110.34,"157,986,300"
"Jan 4, 2023",109.11,114.59,107.52,113.64,113.64,"180,389,000"
"Jan 3, 2023",118.47,118.80,104.64,108.10,108.10,"231,402,800"
